regionName,action,adaptation,addiction,anticipation,anxiety,arousal,association,attention,autobiographical_memory,balance,belief,categorization,cognitive_control,communication,competition,concept,consciousness,consolidation,context,coordination,decision,decision_making,detection,discrimination,distraction,eating,efficiency,effort,emotion,emotion_regulation,empathy,encoding,episodic_memory,expectancy,expertise,extinction,face_recognition,facial_expression,familiarity,fear,fixation,focus,gaze,goal,hyperactivity,imagery,impulsivity,induction,inference,inhibition,insight,integration,intelligence,intention,interference,judgment,knowledge,language,language_comprehension,learning,listening,localization,loss,maintenance,manipulation,meaning,memory,memory_retrieval,mental_imagery,monitoring,mood,morphology,motor_control,movement,multisensory,naming,navigation,object_recognition,pain,perception,planning,priming,psychosis,reading,reasoning,recall,recognition,rehearsal,reinforcement_learning,response_inhibition,response_selection,retention,retrieval,reward_anticipation,rhythm,risk,rule,salience,search,selective_attention,semantic_memory,sentence_comprehension,skill,sleep,social_cognition,spatial_attention,speech_perception,speech_production,strategy,strength,stress,sustained_attention,task_difficulty,thought,timing,uncertainty,updating,utility,valence,verbal_fluency,visual_attention,visual_perception,word_recognition,working_memory
V1_L,0.16002701,-0.4200676,-0.22998607,0.19624865,-0.55124754,-0.043992903,-0.076766975,0.6890762,0.44905418,-0.1031175,-0.07316698,0.09106885,-0.382042,-0.19633666,0.11214956,-0.0071161306,0.072045654,-0.10530416,-0.022453306,0.026415357,0.78750443,0.3912714,-0.07917324,0.09005592,-0.052226283,-0.0042232955,0.025794717,0.08606827,-0.45698068,-0.05050612,-0.004375498,0.6729528,0.876653,0.08633706,0.49431264,0.0005721386,0.06502561,0.094939925,0.35367912,-0.46433058,0.53270406,0.000132093,1.2577994,0.028122455,-0.13568877,1.9559383,-0.29688293,0.10111466,0.042385675,-0.5417534,-0.028248109,0.39705276,-0.10816134,-0.083355114,0.0944185,0.33382863,-0.057571057,0.78090775,-0.09789917,0.2828506,-0.8028932,-0.075723015,-0.50855476,0.5809338,0.47717035,0.39689294,0.9280818,0.11153636,1.6149547,0.40830278,-0.25862598,-0.45153427,-0.27671257,-0.21570984,0.19807914,0.1664793,1.9679459,0.12188701,-0.92702293,0.08773425,0.36142585,-0.051472876,-0.11347622,1.5905412,0.3301207,0.25903678,0.45964062,0.06431123,0.19474794,-0.1781061,-0.12092475,0.027377449,1.1876646,0.20731705,-0.32682607,-1.3407248,0.16548778,0.104969494,0.36131704,0.17614616,0.21286443,0.0428205,0.5719038,-0.09288562,0.16432732,0.38983563,-0.023984032,0.34985277,0.363005,-0.012006839,-0.87098444,-0.019947369,0.1775402,0.2363085,-0.005719155,0.20467794,0.053241972,-0.1298437,0.03917843,0.13332674,0.4921798,0.082472935,0.11158107,0.038987923
MST_L,7.4179187,0.4809249,-0.33575094,-0.3940711,-2.0207336,0.034679733,-0.81973046,3.2697394,-0.33685073,-0.08361125,-0.05294357,-0.2128039,-1.4314178,0.24059372,0.40440944,-0.078739256,-0.04839538,0.084392875,-0.006221836,1.3126527,-1.8890215,-2.1352131,0.7241374,0.17697911,0.026161544,-0.17868355,0.12500818,-0.25338292,-0.0973131,-0.4188324,2.6292286,-0.4491385,-1.2046773,-0.22026373,1.023466,-0.24020691,0.22631173,0.3588721,0.19292265,-0.19598825,0.36228415,-0.0004952519,4.219809,-0.017679157,-0.3271525,1.0510976,-0.4855212,0.06287943,0.09358513,-0.5766379,-0.08080005,1.3299178,-0.078098215,0.21653067,0.07292539,-0.35939217,-0.13133198,1.077545,-0.041967317,-0.5436673,-0.975823,0.014047198,-0.90536857,-0.049493946,0.6444254,0.9588253,-2.672191,-0.55838954,0.47725815,-0.46023878,-1.7051234,-0.64326316,-0.13125087,4.0295596,3.4047759,1.9554261,0.67463297,2.059542,-0.48426417,6.1603446,1.7792007,-0.43708947,-0.60749763,0.78718364,-0.21999492,-0.4411146,0.65081257,-0.45064968,-0.17128186,-0.23691687,-0.061681997,0.097505614,0.15412837,0.13397212,0.1041722,-3.6219256,-0.57510364,-0.01474884,-0.015685547,0.94525343,0.61704606,-0.24806263,0.24276245,-0.3004179,0.92260814,1.9441112,-0.016383884,0.031193335,-0.36600348,0.0036103448,-2.2983677,-0.044299264,0.0052201822,0.02244433,0.13794646,-0.23221359,-0.38766193,-0.045347486,-0.55501723,0.048111126,2.2502766,3.679915,0.03603712,-2.000436
V6_L,0.020966237,-0.24848025,-0.506778,-0.37839928,-0.4968477,0.25204363,0.25141278,1.6365858,1.9162064,0.104067534,0.3306536,0.07528638,0.28415003,-0.30151212,-0.057189718,-0.025217105,0.1718031,-0.09089291,-0.026810441,-0.093460985,-0.24768944,-0.4376241,-0.021841342,-0.031447418,0.10241161,-0.25298396,-0.15159814,0.009687985,-0.25513238,0.43075672,0.1909294,0.70841336,2.4876046,-0.024660872,0.17393683,-0.016962273,-0.6775555,0.12907834,0.44764307,-0.6182009,0.66507465,-2.8403612e-05,0.2733238,0.15662198,0.056877073,1.1631833,-0.39594513,-0.015271143,0.1284112,0.095976345,0.01301745,0.14374146,0.04096385,0.04029646,-0.021359,-0.44318643,-0.032192286,0.2549644,0.053655818,0.15280965,-0.39608973,0.08707499,-0.25452825,0.74740005,1.0693761,0.37102705,2.260086,1.3787421,1.264362,0.6081779,-0.5394669,-0.25331274,-0.6288167,-0.5461924,1.2330959,0.5079559,2.3102944,0.41935945,0.08723845,-0.46397927,1.1248536,-0.11164017,0.10305865,0.9763555,0.13797623,0.080105454,0.275429,-0.29731572,-0.17299785,0.21530522,0.13580453,-0.083880424,3.811682,-0.04690466,-0.35117224,-0.54076153,0.11670072,0.03097298,0.18524532,0.51806957,0.2835963,0.6263392,-0.0018306428,-0.23905951,0.1878274,1.1708127,0.19521858,-0.14875843,0.03721933,0.031236498,-0.6415169,0.0035766386,0.29265997,0.29373547,-0.25719005,0.15836431,0.049937204,-0.12846093,-0.54393315,0.091049,0.82737094,0.21197891,-0.4408855,0.053613324
V2_L,0.21930686,-0.36050943,-0.22973014,0.08561366,-0.7147564,0.19872709,-0.12025928,0.6251395,1.34148,-0.073810436,-0.005939079,0.10866797,-0.36374685,-0.22502995,0.22106618,-0.019834798,0.1260036,-0.07482654,0.104340374,-0.096128576,0.49141294,0.28530833,0.04783494,0.05083916,0.035723947,-0.05159003,-0.087929286,0.011793644,-0.28595385,-0.15036185,0.23136216,0.8515762,1.5943326,0.15581958,0.6500507,-0.06344,-0.08464928,0.22360358,0.47544745,-0.55297244,0.78021324,6.715919e-05,0.85404503,-0.047489326,-0.12899332,1.2628595,-0.21245807,0.10503193,0.068813026,-0.459025,-0.026131952,0.25389382,-0.151785,0.04482582,0.02252035,0.16050571,0.08433448,0.2887604,-0.23716615,0.29612967,-0.63993144,-0.12633924,-0.40105024,0.2014202,0.3497496,0.48568252,1.0173112,0.51332706,1.0351566,0.41468197,-0.35549095,-0.41129288,-0.17479883,-0.16674016,0.08601531,0.343299,1.9421088,0.177562,-1.0109302,0.5851587,0.31291348,-0.106758006,-0.16527234,1.3645222,0.197355,0.21551694,0.41925612,-0.038521964,0.2588777,-0.18715405,-0.13375485,0.01253483,1.7160404,0.29305518,-0.20103197,-0.9539115,0.28215748,0.075464524,0.36920488,0.19391297,0.4845047,0.10202036,0.36061665,-0.03463384,0.32117862,0.4191955,0.10417403,0.16387118,0.14521967,-0.03736387,-0.539418,-0.013729521,0.15469748,0.055982962,0.12906337,0.18373454,0.104184374,-0.10141795,0.08561869,0.105800845,0.71005887,0.19587709,0.10229169,-0.28966188
V3_L,0.806687,-0.4908926,-0.30359796,0.07899646,-0.93773055,0.4219685,-0.17562774,0.65025073,0.3029574,-0.07367492,-0.055278078,0.17948541,-0.6521648,-0.071794525,0.20679861,-0.021316811,-0.034446638,-0.05307215,0.22394963,0.12539314,0.5236357,0.40497464,0.1709781,0.15936211,-0.0057669957,0.03941897,-0.09619014,-0.024228206,-0.3377381,-0.44383293,0.45715386,1.1058483,1.2127527,0.1774574,0.6772847,-0.065901406,0.04652132,0.73959374,0.5554307,-0.71106553,0.500459,2.285653e-06,0.8245623,0.30019695,-0.14972061,0.5912129,-0.18904252,0.14007853,0.039611783,-0.37565607,0.004494776,0.36644846,-0.11932201,0.1524899,0.12995435,0.3002499,0.1290933,0.4405357,-0.05618308,0.49042332,-0.75371516,-0.080486596,-0.43402606,0.028633537,0.08495319,0.9334601,0.6908055,0.25869605,0.44870284,0.46883997,-0.46972597,-0.41270262,-0.15439071,-0.5061402,0.53265584,0.49747604,1.8319647,0.39349276,-1.4147538,1.2287445,0.3495248,-0.11154624,-0.22370338,2.7646992,0.08530196,-0.25938734,1.0661346,-0.110160895,0.18778731,-0.33554158,-0.13690342,0.101028465,1.4196225,0.26159257,-0.033567663,-1.1825384,0.5020474,0.30414984,0.15822285,0.22997354,-0.050679594,0.21176353,0.2929171,-0.1138671,0.17252392,0.69378746,-0.053705964,-0.008799057,-0.016162988,-0.03915239,-0.6800245,-0.030650968,0.20052922,-0.0064539784,0.38510373,0.0142187355,0.17007485,-0.12558924,-0.17888679,-0.06301523,0.5749459,0.36799684,0.23118098,-0.079928115
V4_L,0.7382621,-0.11946237,-0.45377505,-0.2549983,-0.9426279,0.11525347,-0.2928696,1.3519064,0.16401146,-0.076341905,-0.08115396,0.22107574,-0.77461964,-0.008553457,0.48860383,-0.014489411,-0.01310334,-0.10678869,0.42845103,0.33070508,0.8549289,0.29675984,0.34225714,0.24844058,-0.0030193315,-0.0036938686,0.12548071,-0.088343136,-0.5457179,-0.7271413,0.27769035,1.8462594,0.78600246,0.21351963,0.39358068,0.026853606,0.8459947,0.6693489,0.84985614,-0.34311512,0.4105165,-0.00010477546,1.2481619,0.36109588,-0.25137335,0.6656525,-0.34178475,0.018970715,0.016246276,-0.24744992,0.022188958,0.3687578,-0.16243882,0.08102021,0.22091655,0.7360466,0.092749946,0.5709503,-0.16532457,0.48042357,-0.8039745,-0.011742643,-0.4263346,0.40183792,0.08785441,0.530294,0.80166763,0.0060434504,0.58539057,0.38819554,-0.47135094,-0.5884115,-0.2987291,-1.3542781,0.56923854,0.8598253,2.0210757,0.82297283,-2.057442,1.8667744,0.11528836,0.33992183,-0.4658256,3.855813,0.05378839,0.056327745,1.7568876,0.04626411,0.12282009,-0.41917896,-0.17973712,0.16800302,2.109473,-0.13116309,0.0015879854,-1.9390187,0.5937845,0.13451955,0.48250735,0.6143817,-0.2365368,-0.044659395,0.4024176,-0.06390258,-0.13684113,1.4287704,-0.39044955,0.13107191,-0.04140446,-0.034206085,-1.1553146,-0.033862974,0.43795827,0.1764739,0.6231216,-0.035614762,0.098024026,-0.15918605,-0.0909963,-0.11048085,1.0424143,0.9617479,0.5809436,-0.12307434
V8_L,0.6120346,0.15749305,-0.7864724,-0.6293145,-0.60527503,0.13293836,-0.18233529,1.8832124,0.009410654,-0.09947547,0.028715476,0.24144936,-0.58189183,-0.1946272,1.1044867,-0.0007688147,-0.019331096,-0.13095987,0.24747218,0.26288286,0.25190705,-0.30111942,0.47573003,0.45448187,-0.041380633,0.2425904,0.34743512,-0.10483303,-0.1789158,-1.0330439,0.37921596,2.7532613,0.09523153,0.010550532,0.56353664,-0.024486663,2.1914449,0.2589801,0.48542103,0.13682154,0.7184101,-0.000387379,0.9866783,0.5435189,-0.17435221,1.2085242,-0.5414731,0.1724423,-0.0776153,-0.0047466275,0.006469725,0.7116099,-0.0045055584,0.055638332,0.67384136,0.5370484,0.22101486,0.09676182,-0.34086752,0.28188047,-1.5184033,-0.16557147,-0.32706562,0.60573393,0.7167479,-0.15952364,0.56085616,-0.37170172,0.9617978,0.14063737,-0.30535626,-0.6152343,-0.37032586,-1.7779455,1.468703,0.99200714,2.2167864,1.1113602,-1.6534834,1.8702064,-0.36180916,0.7003276,-0.49925345,3.4236813,-0.07463884,-0.12968911,2.3461988,0.41352284,0.37827596,-0.14795484,-0.124001086,0.18251586,2.0232685,-0.1014075,-0.06831692,-1.408616,0.09916493,0.41360006,0.48664483,0.8470696,-0.62391263,-0.16550516,0.6782532,-0.12361918,-0.13147156,3.2839072,-0.2842533,0.115329176,-0.048400365,0.00024379381,-1.3599634,-0.027323144,1.2400743,0.03435463,0.24801797,-0.12805161,-0.18388979,-0.16949736,0.19349179,-0.090873785,1.7709634,0.42075357,0.26327178,-0.08134673
4_L,2.4157305,-0.4654289,-0.17799433,-0.06378867,-1.2734122,-0.20218308,-0.19841316,-0.074006476,-0.38205698,0.2127974,-0.18831813,-0.09531568,-0.46429095,-0.273512,-0.0831037,0.019940373,0.008809748,0.062413186,0.27260908,3.1905534,0.034886483,0.14187206,-0.009664612,-0.035124797,-0.02143384,-0.020040939,0.038009085,-0.00863514,-1.0415702,-0.24218617,0.014209284,0.10735668,-0.09706437,-0.043370266,0.17522572,-0.2999229,-0.6627356,-0.024567585,-0.30115986,-1.013219,0.13245808,-4.0138908e-05,0.03959252,-0.016564315,-0.049336802,3.419925,-0.13352431,0.30805963,0.17324704,0.2621813,-0.00884741,0.2601518,-0.102461465,-0.25311902,0.06367729,-0.76250756,-0.2915415,0.48096934,0.15795973,0.13969824,0.07934699,0.015459389,-0.0726222,0.2947097,0.14083634,0.25643292,-0.96057266,-0.43344676,0.16865724,0.26518232,-0.7060243,-0.23311152,2.8991644,6.4567814,0.18454564,1.1056865,0.17048982,-0.47122866,1.5891161,0.04769397,1.7779197,-0.16407283,-0.50961465,0.68002665,-0.19202508,-0.045902554,-0.89396644,0.5136428,-0.04530604,0.0135480035,0.15677522,0.29680657,-0.11630277,-0.10593985,1.2498721,-1.4039916,-0.0047546006,-0.5843646,-0.090704,-0.12029429,-0.10917149,-0.08869952,1.0342509,-0.079095624,-0.40257078,-0.19030423,0.09374485,2.0692978,-0.14415029,-0.0001437674,-0.5188664,0.013899113,0.18464713,0.12434547,0.54309654,-0.01722226,-0.043897316,-0.005919269,-0.45732185,0.08404922,-0.07006334,0.012411404,-0.030949764,-0.3266405
3b_L,2.1614738,-0.22593032,-0.36710528,-0.09693309,-1.2825285,-0.3044601,-0.33239418,-0.50345355,-0.43527073,0.29127964,-0.12787388,-0.12131177,-0.5242613,-0.2061498,-0.08531078,0.013936029,0.008147659,0.08260855,0.058471203,3.4350455,0.002433658,-0.13185427,0.09069772,-0.041209772,-0.041075047,-0.169214,0.09480921,0.100836284,-1.1487824,-0.076862134,0.014360903,0.07598148,-0.07545337,-0.11331178,-0.012048825,-0.3331342,-0.55970794,-0.050414808,-0.32693738,-1.156144,0.13541713,0.00012081009,-0.10323826,-0.07448411,0.0035094807,2.2219634,-0.29535416,0.31892172,0.10266818,0.36827287,-0.01849964,0.3115295,-0.15335818,-0.3022255,0.118559875,-0.98466474,-0.08879417,0.15428251,-0.08611817,-0.031719517,-0.011753362,0.26351935,-0.09007889,0.261963,0.29997042,0.2010698,-1.255929,-0.6856033,-0.011488375,0.32725906,-0.9558568,-0.08658,2.8337116,6.2987833,0.4331451,1.6458447,-0.0046097524,-0.446058,2.2251494,0.06138381,1.4384515,-0.21249261,-0.47090027,0.949826,-0.29730454,-0.1711261,-0.9119235,0.24995552,-0.06885487,-0.14464082,0.28120402,0.20640813,-0.19852175,-0.06056933,1.6652642,-1.5332458,0.2655641,-0.4659135,-0.10743065,-0.09581384,-0.015550665,-0.20014492,1.2271438,0.024132993,-0.5183763,-0.521044,0.076277524,2.8028076,-0.17980397,-0.00567399,-0.62664634,0.023689836,-0.0031890771,0.10982261,0.6416355,-0.043819174,-0.10040188,0.056486707,-0.6523505,0.2367803,-0.017759388,0.054342233,0.005720794,-0.7662307
FEF_L,4.9692883,-0.28546685,-0.8527404,-0.5404695,-2.113426,-0.541494,-0.21210621,3.2368212,-0.22188404,-0.031953022,-0.13281249,-0.100723594,0.55058914,-0.31509915,0.2584042,0.041927863,-0.015110215,-0.14833528,0.0021833836,1.6989266,0.0037700094,-0.5311141,0.07018082,0.22736384,-0.04840895,-0.802469,0.02864589,0.15359078,-1.9813681,-0.5333958,-0.6577907,0.9905037,-0.73869705,0.18388484,-0.13129763,-0.54786813,-0.97565997,-0.54796344,0.61354285,-2.1002614,1.3872303,-0.00024060474,1.6713101,-0.0050476734,-0.21694805,5.4280987,-0.3172311,0.018316688,0.077926286,-0.16089876,-0.047551014,0.5206699,-0.062498674,0.053388372,1.9671192,-0.0040264307,-0.17509162,3.6038396,2.1813347,0.10464516,0.8251262,-0.42561227,-0.79376084,3.655897,1.3176508,0.26226935,1.6649432,-0.07620454,1.640806,1.1185207,-1.3760554,-0.46467918,1.5533675,6.7309413,0.29804513,0.62744033,0.6506737,-0.5488569,-2.315747,-0.17372431,2.9291499,-0.29581076,-0.5710823,1.5843166,0.92447406,-0.3866093,-1.2624446,1.9689305,-0.17485933,0.16016877,0.735385,0.27695137,1.1319447,-0.27320093,0.3711538,-2.5182989,0.94947684,-1.2707351,0.80868834,0.65936446,0.53819716,1.4862725,1.3906175,-0.26225218,-0.13600002,3.9582372,0.25220963,0.90178055,0.3039601,-0.08416883,-1.3639561,-0.0064358516,1.3481331,0.45648083,2.0398176,-0.112486385,0.3608474,-0.24025753,-1.3929322,0.43578437,0.5593172,-0.004162103,-0.6478335,5.053962
PEF_L,4.266302,-0.1737029,-0.56887794,-1.6540395,-2.7503853,-0.8093369,-0.4849472,1.5683315,-0.21064338,-0.17620598,-0.22436513,0.27634737,2.5501907,-0.27715933,0.23052189,0.06530533,-0.03771134,-0.047503836,0.16042097,1.3395581,1.2079997,-0.018270593,-0.26014212,0.29476693,0.066694595,-0.7844416,0.13020454,0.25503796,-2.4280381,-1.0675848,-0.059454706,1.2041441,-0.41263032,0.33102775,0.23187473,-0.9654431,-1.0332551,-0.38077906,1.0248222,-2.895461,0.91345406,0.0005696223,0.028209286,0.25940382,-0.25357524,2.678889,-0.67077756,0.1593738,0.066138156,-0.19792625,-0.10016444,0.44922003,-0.11855015,-0.2562926,1.405534,1.6208245,0.24874729,7.76577,1.5093756,1.1869898,0.7300447,-0.020358091,-2.2737293,4.6540356,1.0899584,0.35225895,5.2582674,0.77239126,0.28963006,0.5748298,-1.5799488,-0.46018785,1.123165,2.1994143,-0.27195743,1.7421517,0.6046113,-0.57890624,-2.8529344,-1.1889681,3.0831308,0.032766044,-0.29924852,6.765534,0.5370475,1.5283351,0.30879033,4.5780377,0.3814036,-0.02597975,0.5722936,0.26493326,2.73514,-1.1079646,-0.12544858,-3.5225117,2.8245957,-1.3834157,0.8397734,0.31463826,0.9804933,2.0326905,0.9702782,-0.26916218,-0.12558645,1.638751,0.41803005,3.0679693,0.19109719,-0.12736735,-2.1091554,-0.037956983,4.126513,0.54292125,0.5531763,-0.13369726,1.6142863,-0.17938589,-1.5299621,0.3871313,-0.15479341,-0.056487508,0.17987715,7.6158175
55b_L,3.5227742,-0.55756557,-0.54600024,-1.3571823,-2.2656903,-0.5928778,-0.30622822,0.6236928,0.58263344,-0.13272251,-0.17490634,-0.13639699,0.48999178,-0.044543646,0.12967058,0.04187811,-0.027131466,-0.0069604088,0.03442403,0.84558666,-0.09904503,-0.99250585,-0.16873759,0.08417563,-0.056358542,-0.5174127,-0.07906618,0.04280941,-0.9568047,0.40334177,-0.22263658,1.1612988,-0.05454737,0.23472372,-0.14786062,-0.5208611,-1.008408,-0.5488827,0.56204444,-1.8351514,1.235907,0.00037222047,0.621953,-0.32226422,-0.1799502,3.1338282,-0.61317766,0.081296325,0.33020207,-0.06434353,-0.062430132,0.60714,-0.10423324,0.17823453,0.06264175,1.0371143,0.27297273,7.70969,3.8046587,-0.3422227,2.7424874,-0.27006182,-1.2645966,3.770319,0.34452575,1.1299043,2.5801208,1.1725968,1.1320713,0.7796548,-1.0170116,-0.27915078,0.86784816,3.8363967,-0.19063321,1.4546943,0.041614857,-0.8248772,-2.7023757,-0.3930444,1.1203519,-0.22562023,-0.3488042,4.995648,1.1671928,0.6748167,-0.43509498,2.7847202,-0.27310294,0.1368982,0.20582493,0.3455077,2.4305654,-0.7377962,0.23256943,-2.7405007,0.40414008,-1.264416,0.48557088,-0.06576918,1.740381,3.568311,0.8307081,-0.32304505,0.22223967,1.5769832,1.2791702,2.9608428,0.45861146,-0.10525285,-1.3783197,-0.031514082,1.543481,0.5579354,1.7599112,-0.24416672,0.4262186,-0.16426906,-0.5890023,0.5696998,0.16085275,-0.08624373,-0.086607076,4.583462
V3A_L,0.9766496,-0.4286982,-0.19128604,-0.15694137,-0.5993328,0.5821757,-0.08452384,1.6922275,-0.03925097,-0.03061519,-0.066020645,-0.030237261,-0.74188995,-0.51045334,-0.17613794,-0.020906325,-0.007628196,-0.03224849,-0.16713345,0.4804582,-0.44597423,-0.28702027,0.2635725,0.29639015,-0.13946067,-0.005796653,-0.08393805,-0.07763364,-0.14753379,-0.15094157,0.67513645,0.50696,0.5904053,-0.22560857,0.13917917,-0.0149731245,-0.20265517,0.45250455,-0.02295601,-0.447418,1.293157,-0.00022710534,0.44488516,0.51478046,0.082530625,0.73887736,-0.08785599,0.04685484,0.026205113,0.32379633,0.061958343,0.301841,0.20920135,0.016257452,0.10078445,-0.17897213,-0.33033994,-0.42537764,-0.05552456,0.28318426,-0.6951386,0.15506707,-0.6101789,0.5624473,0.11792097,0.51869667,0.7024717,-0.3468489,0.57932884,0.6075412,-0.39568073,-0.27227297,0.0807617,0.36521888,2.361931,0.12322691,1.1978624,0.29249746,-1.4482229,0.7655536,1.6171622,-0.35028175,-0.115808904,0.8115067,0.06589423,-0.51403105,-0.01178864,-0.17287375,-0.08611202,0.36180592,-0.022066273,0.027964737,0.2666869,-0.11749112,0.03144091,-0.7129493,0.18251847,0.51731646,0.23398314,0.6544964,-0.50059295,0.24549669,0.9908773,-0.21661134,0.3005834,2.6915476,-0.0038528435,-0.55872786,-0.120423146,-0.03852365,-0.607431,-0.05696563,-0.1729665,0.22697088,0.295372,0.03054369,0.1441113,-0.053554256,-0.29241365,-0.122367695,0.5287324,0.7256656,-0.223941,0.52089864
RSC_L,-0.49994856,-0.7803676,0.32654414,0.35057983,0.4406232,0.12734796,-0.06430352,-0.13376951,3.2219872,0.18105319,-0.070197165,0.13495249,1.6162877,-0.2557956,-0.14801916,0.051047556,0.1765905,0.11719929,0.25372696,-0.15071817,0.6109242,0.42854255,-0.29316354,0.06790622,0.2097195,0.102611065,-0.027459221,-0.042154815,-0.06811241,0.22560114,-0.0952099,1.1136974,3.5187812,0.25835642,0.1356955,-0.15593964,-0.12444249,-0.1414036,1.740823,-0.23445132,-0.048076104,-0.00018424306,-0.7001919,0.09589296,-0.01348531,-0.1930782,0.4133442,0.26991507,0.0127401035,0.536977,0.042450566,-0.4702514,-0.12765165,-0.18396454,0.112692945,0.23548791,-0.08420639,-1.2904811,0.01669227,0.32687837,-0.0068682046,-0.31265655,0.3539524,0.32001644,-0.060261507,-0.22236806,4.232425,3.5224652,-0.09351562,0.63081723,-0.07298439,-0.29866278,-0.45195845,-1.5941979,-0.6727287,-0.26340586,0.87908244,-0.65036285,1.1897185,-0.8197489,-0.82910496,-0.27335334,-0.10652074,-0.5409093,0.19088304,1.2333956,1.146094,-0.28159076,0.03307831,1.0313089,-0.12146543,0.17174123,4.8284435,-0.123755954,-0.31575948,-0.335925,0.12451422,0.30748406,-0.077976644,-0.07109978,1.533718,0.48474863,0.30276966,0.30187786,0.3779375,-0.5609935,-0.30304283,0.2095649,0.40539175,0.02811359,0.12599292,0.053765472,0.36126393,0.79919225,-0.19487719,-0.010588077,0.012504518,-0.05793423,0.52348065,-0.02727927,-0.033079635,-0.07986778,-0.1517065,-0.4176336
POS2_L,0.17337614,-0.60443103,-0.3186433,0.008373323,-0.39459667,0.1398784,-0.2669463,0.28523597,3.113854,0.09672545,0.8213436,0.037223678,1.041571,-0.3727375,0.2706499,0.039638024,0.11605454,0.32452914,-0.071588255,-0.58836985,0.2783125,0.20932278,-0.08725331,-0.035380725,0.19893616,-0.48194692,0.02880652,0.048654567,-0.43964761,0.37282503,0.08213737,1.3793638,4.889845,-0.022123251,0.23249449,-0.2574596,-0.44527176,-0.22955368,0.9975911,-1.250219,0.3285477,0.00024686425,-0.32285735,0.4144342,-0.03415382,1.920018,-0.43942788,0.037332542,0.066108204,-0.055369653,0.021155955,-0.31716096,-0.025409177,-0.14391097,0.67714,0.47748476,0.7572083,-0.83922464,0.030890122,-0.059803795,-0.45149863,-0.17649715,-0.65116346,1.8405987,1.6458697,0.31390297,4.900679,5.8494396,0.7204953,1.473111,-0.8498127,-0.5907118,-0.45170385,-1.0756773,0.05676442,0.28321007,2.2516966,0.099134624,-0.36422536,-0.9595722,0.68607426,-0.30211508,0.20643736,0.2107278,0.47670364,1.8384634,1.8968625,-0.0060341754,-0.16364683,0.1501135,0.48985723,0.28687075,7.1704645,-0.06307496,-0.3356727,-0.668611,0.8679019,0.30902004,-0.0064095724,-0.22012985,2.2238119,0.652027,0.19628492,-0.14866221,0.7632453,0.06283958,-0.17172912,-0.18029958,0.44035223,0.03977136,-0.6795697,-0.013915799,0.546082,0.84422004,-1.0405132,0.07927425,0.1342776,-0.14004396,0.054213986,-0.074742295,0.23881544,0.061954655,-0.22820157,0.41910073
V7_L,1.1330901,-0.32737336,-0.50218815,-0.23697495,-1.0442151,-0.31528813,-0.36592218,3.7463632,-0.19942266,0.14474504,-0.16565388,0.06247572,-1.0740095,-0.65594095,-0.0436036,-0.027848441,-0.0021873314,-0.15514994,-0.1622858,1.0400392,-0.6469359,-0.96493334,0.26234367,0.33103433,-0.14367902,-0.50627583,-0.1766927,-0.10559171,-0.8363901,0.025467826,-0.2687585,2.1268427,0.7107451,0.014019727,-0.010831327,-0.11957044,-0.52850336,0.027540041,-0.32374445,-0.66599613,1.2700976,-0.00030481617,1.327819,0.25366852,0.04179645,1.6633815,0.19139336,-0.0871303,0.018861054,-0.28652143,-0.045547687,0.3491371,0.17688829,-0.39207017,0.6411411,0.4851806,-0.023728717,-0.83043826,-0.57805,-0.0027155264,-0.6663818,0.30877045,-1.2332412,1.2106458,1.1563185,-0.009355822,1.9632611,-1.1677635,2.085309,-0.034686677,-0.7330536,-0.44365355,0.22262044,0.3367503,2.3743696,0.5311215,2.0087917,1.4301147,-0.7735584,0.4511425,2.0510921,-0.06707652,-0.5228916,1.2261742,0.23951012,-0.4599988,0.5806904,-0.17591372,-0.253863,0.03367065,0.2901243,0.4035918,0.2703121,-0.32374322,-0.08537917,-1.7504354,0.49875304,-0.29183462,0.75745815,1.5543774,-0.4162012,0.29533392,0.5364849,-0.3397693,-0.29214394,4.671063,-0.4529869,-0.6632548,0.17509152,-0.07868735,-1.593987,-0.06798673,0.38684276,-0.22240925,-0.02695066,-0.06514955,0.0895538,0.0401576,-0.8999775,-0.13723892,1.9571868,2.432072,-0.0068862704,2.1381986
